ID,Term,POS,NEG,NEU,TOTAL
381,silverware,2,37,3,42
382,fee,1,32,9,42
383,feel,40,0,1,41
384,scenery,39,1,1,41
385,cheeseburger,31,3,7,41
386,butter,28,9,4,41
387,biriyani,26,10,5,41
388,plantain,23,12,6,41
389,grill chicken,21,6,14,41
390,entrance,9,19,13,41
391,vegan,35,3,2,40
392,crew,34,4,2,40
393,food selection,34,3,3,40
394,pasta dish,30,3,7,40
395,bubble tea,22,14,4,40
396,spare rib,19,13,8,40
397,hot and sour soup,19,6,15,40
398,hot sauce,32,6,1,39
399,eggplant,27,8,4,39
400,banchan,27,6,6,39
401,lobster roll,26,7,6,39
402,tartare,21,5,13,39
403,furniture,19,10,10,39
404,fettuccine,15,16,8,39
405,grilled octopus,32,1,5,38
406,slice,30,7,1,38
407,sommelier,30,5,3,38
408,cappuccino,27,8,3,38
409,adana,24,8,6,38
410,tuna tartare,23,3,12,38
411,halibut,22,9,7,38
412,mozzarella,18,11,9,38
413,name,12,15,11,38
414,noise,9,26,3,38
415,recommendation,37,0,0,37
416,cuban sandwich,34,0,3,37
417,interior design,33,3,1,37
418,diner,30,3,4,37
419,babaganoush,24,2,11,37
420,grill,23,6,8,37
421,onion,16,17,4,37
422,lettuce,6,30,1,37
423,tax,2,23,12,37
424,team,34,0,2,36
425,beer selection,26,7,3,36
426,tart,25,2,9,36
427,patty,23,11,2,36
428,collard green,22,12,2,36
429,kofta,20,9,7,36
430,scampi,16,15,5,36
431,dining,32,0,3,35
432,staff member,31,4,0,35
433,vegetarian option,31,4,0,35
434,setup,30,4,1,35
435,menu selection,29,2,4,35
436,brussel sprout,28,5,2,35
437,food option,28,4,3,35
438,valet parking,28,1,6,35
439,lomo saltado,26,2,7,35
440,seat area,25,7,3,35
441,meatloaf,24,8,3,35
442,papaya salad,24,7,4,35
443,flan,23,8,4,35
444,grilled chicken,23,6,6,35
445,sake,23,5,7,35
446,cabbage,21,8,6,35
447,guac,19,6,10,35
448,fettuccine alfredo,17,14,4,35
449,ribeye,16,7,12,35
450,pad see ew,29,2,3,34
451,bake,29,1,4,34
452,bakery,29,1,4,34
453,falooda,26,7,1,34
454,combo,25,5,4,34
455,gluten,25,4,5,34
456,garlic knot,25,4,5,34
457,kababs,23,5,6,34
458,wrap,22,10,2,34
459,churrasco,22,7,5,34
460,onion ring,20,5,9,34
461,dough,17,16,1,34
462,antipasto,17,7,10,34
463,weather,24,9,0,33
464,bar tender,22,11,0,33
465,filling,22,10,1,33
466,brunch menu,20,7,6,33
467,chop,18,10,5,33
468,omelette,16,8,9,33
469,hall,16,6,11,33
470,temperature,14,12,7,33
471,inside,29,1,2,32
472,manti,27,2,3,32
473,eats,27,1,4,32
474,double,26,4,2,32
475,pita bread,24,5,3,32
476,wonton,23,8,1,32
477,food taste,22,6,4,32
478,booth,18,12,2,32
479,tikka,12,6,14,32
480,rotisserie chicken,29,2,0,31
481,food service,26,3,2,31
482,plat,22,8,1,31
483,cater,21,1,9,31
484,korma,18,5,8,31
485,discount,17,6,8,31
486,app,16,10,5,31
487,lobster tail,11,15,5,31
488,alcohol,9,10,12,31
489,cutlery,5,26,0,31
490,massaman curry,28,1,1,30
491,singer,27,2,1,30
492,pork belly,26,1,3,30
493,din area,25,3,2,30
494,art,25,2,3,30
495,shark,25,0,5,30
496,pierogies,24,2,4,30
497,rice cake,21,5,4,30
498,serve size,20,9,1,30
499,skin,17,11,2,30
500,the,12,12,6,30
501,company,27,2,0,29
502,deal,27,0,2,29
503,aesthetic,26,2,1,29
504,byob,26,1,2,29
505,pad kee mao,25,3,1,29
506,sea food,25,2,2,29
507,take,24,4,1,29
508,coleslaw,22,4,3,29
509,pierogi,21,3,5,29
510,bisque,19,5,5,29
511,wonton soup,17,9,3,29
512,lunch buffet,17,3,9,29
513,yam,16,5,8,29
514,omelet,14,10,5,29
515,linguine,14,9,6,29
516,mac n cheese,14,7,8,29
517,pepper,13,13,3,29
518,min,1,26,2,29
519,curry puff,25,2,1,28
520,donut,23,1,4,28
521,chaat,23,1,4,28
522,panang curry,21,3,4,28
523,cooky,20,1,7,28
524,sorbet,19,4,5,28
525,catering,19,4,5,28
526,catfish,18,7,3,28
527,home fry,17,6,5,28
528,filet,17,5,6,28
529,man,16,11,1,28
530,tempura,13,8,7,28
531,marsala,6,17,5,28
532,cup,4,21,3,28
533,ambient,25,1,1,27
534,menu option,22,4,1,27
535,prawn,21,4,2,27
536,culture,21,3,3,27
537,shumai,19,4,4,27
538,chili,18,8,1,27
539,rum punch,18,7,2,27
540,delivery service,17,9,1,27
541,penne,15,5,7,27
542,pappardelle,15,2,10,27
543,spinach,14,10,3,27
544,cream,14,5,8,27
545,busboy,11,15,1,27
546,wall,11,14,2,27
547,ac,2,25,0,27
548,chandelier,26,0,0,26
549,artichoke,23,2,1,26
550,welcome,22,4,0,26
551,crepe,22,3,1,26
552,bibimbap,20,4,2,26
553,s,20,1,5,26
554,doner,18,6,2,26
555,olive,18,5,3,26
556,cacio e pepe,18,3,5,26
557,udon,17,7,2,26
558,bulgogi,15,3,8,26
559,topping,14,10,2,26
560,color,13,11,2,26
561,linguini,13,9,4,26
562,amount,12,13,1,26
563,garnish,12,11,3,26
564,hygiene,9,17,0,26
565,crowded,5,18,3,26
566,indian,25,0,0,25
567,present,24,1,0,25
568,concept,22,2,1,25
569,pierogis,21,1,3,25
570,bolognese,17,6,2,25
571,arroz,14,6,5,25
572,reception,13,7,5,25
573,liquor,10,6,9,25
574,food portion,22,1,1,24
575,cuban,21,0,3,24
576,grill octopus,21,0,3,24
577,facility,20,4,0,24
578,set up,19,3,2,24
579,bloody mary,17,4,3,24
580,moussaka,17,3,4,24
581,bruschetta,16,3,5,24
582,rigatoni,15,6,3,24
583,grit,14,8,2,24
584,potato salad,8,8,8,24
585,delivery guy,7,16,1,24
586,sign,6,15,3,24
587,fork,1,23,0,24
588,asian fusion,20,0,3,23
589,chicken dish,17,4,2,23
590,cocktail menu,15,6,2,23
591,goat,15,4,4,23
592,staffed,4,18,1,23
593,food choice,20,2,0,22
594,indian food,20,0,2,22
595,itself,19,3,0,22
596,lamb dish,19,2,1,22
597,mousse,18,3,1,22
598,bahn mi,18,3,1,22
599,product,17,1,4,22
600,baba ghanoush,17,1,4,22
601,bite,17,1,4,22
602,bowl,16,5,1,22
603,drive,16,3,3,22
604,benedict,16,3,3,22
605,croquette,16,3,3,22
606,champagne,15,6,1,22
607,tandoori chicken,15,5,2,22
608,mix grill,14,6,2,22
609,mapo tofu,14,4,4,22
610,sweetbread,14,4,4,22
611,chaufa,14,3,5,22
612,greeting,13,8,1,22
613,creme brulee,13,5,4,22
614,chicken cutlet,12,6,4,22
615,bao bun,12,3,7,22
616,octopus salad,12,3,7,22
617,fish cake,10,4,8,22
618,fly,1,21,0,22
619,traffic,1,19,2,22
620,carpet,0,22,0,22
621,vibes,21,0,0,21
622,item,20,1,0,21
623,aroma,19,1,1,21
624,assortment,19,0,2,21
625,nutcracker,18,1,2,21
626,personnel,17,4,0,21
627,gelato,15,3,3,21
628,idli,15,3,3,21
629,crab rangoon,15,2,4,21
630,cannoli,14,5,2,21
631,swordfish,14,5,2,21
632,bento box,14,4,3,21
633,turkey,13,5,3,21
634,flat bread,13,3,5,21
635,spread,13,0,8,21
636,macaroni,12,9,0,21
637,chorizo,12,7,2,21
638,seating area,12,5,4,21
639,ragu,12,4,5,21
640,bucatini,11,5,5,21
641,ownership,9,8,4,21
642,chicken finger,8,4,9,21
643,receptionist,7,13,1,21
644,greeter,7,13,1,21
645,toilet,5,15,1,21
646,liver,18,2,0,20
647,service food,18,1,1,20
648,food presentation,16,4,0,20
649,drink menu,16,3,1,20
650,truffle fry,16,3,1,20
651,egg benedict,15,3,2,20
652,clientele,14,3,3,20
653,borek,14,2,4,20
654,veg,13,3,4,20
655,chat,13,1,6,20
656,tortellini,12,6,2,20
657,slider,12,1,7,20
658,chow mein,11,6,3,20
659,brussels sprout,11,4,5,20
660,building,10,10,0,20
661,curry goat,9,7,4,20
662,receipt,1,18,1,20
663,din,17,2,0,19
664,vegan option,17,2,0,19
665,food court,17,1,1,19
666,plating,16,3,0,19
667,baba ganoush,16,1,2,19
668,pisco sour,16,1,2,19
669,lamb haneeth,15,3,1,19
670,menu item,15,3,1,19
671,masala dosa,15,1,3,19
672,dosas,14,4,1,19
673,look,14,3,2,19
674,chicken parmigiana,14,2,3,19
675,eggplant parmesan,14,0,5,19
676,perogies,13,2,4,19
677,minestrone soup,12,7,0,19
678,pernil,12,6,1,19
679,porkchop,12,4,3,19
680,shakshuka,12,3,4,19
681,tripe,12,0,7,19
682,tandoori,11,5,3,19
683,cauliflower,11,3,5,19
684,noise level,10,7,2,19
685,carrot,9,7,3,19
686,curry chicken,9,4,6,19
687,attendant,5,13,1,19
688,waiting time,3,14,2,19
689,everything,18,0,0,18
690,dominican food,17,0,1,18
691,souffle,16,1,1,18
692,scene,16,1,1,18
693,lounge,16,0,2,18
694,history,14,2,2,18
695,bar area,14,2,2,18
696,shake,14,2,2,18
697,biscuit,14,2,2,18
698,party,14,0,4,18
699,cole slaw,13,5,0,18
700,show,13,4,1,18
701,chicken parmesan,13,2,3,18
702,panini,13,2,3,18
703,xiao long bao,13,0,5,18
704,din room,12,5,1,18
705,waiter / waitress,12,4,2,18
706,sambar,12,3,3,18
707,bronzino,12,2,4,18
708,protein,11,5,2,18
709,timing,11,5,2,18
710,escargot,11,3,4,18
711,manger,10,7,1,18
712,list,9,7,2,18
713,pickup,9,6,3,18
714,ziti,9,6,3,18
715,sit,8,7,3,18
716,communication,6,12,0,18
717,prosciutto,6,10,2,18
718,pea,5,11,2,18
719,adana kebab,17,0,0,17
720,dominican,16,0,1,17
721,playlist,15,0,2,17
722,fritter,13,4,0,17
723,voice,13,4,0,17
724,bellini,13,2,2,17
725,price point,13,2,2,17
726,chicken 65,13,1,3,17
727,picture,12,4,1,17
728,souvlaki,12,2,3,17
729,fried ice cream,12,2,3,17
730,exterior,11,5,1,17
731,churros,11,5,1,17
732,shwarma,11,3,3,17
733,teriyaki,11,2,4,17
734,cubano,11,1,5,17
735,sevice,10,6,1,17
736,marinara sauce,10,6,1,17
737,french onion soup,10,5,2,17
738,mac and cheese,10,3,4,17
739,casserole,10,1,6,17
740,fry noodle,10,0,7,17
741,cavatelli,9,5,3,17
742,appetiser,9,3,5,17
743,delivery driver,8,9,0,17
744,shrimp cocktail,8,4,5,17
745,crab leg,7,9,1,17
746,accommodation,7,4,6,17
747,dip sauce,7,4,6,17
748,oil,6,8,3,17
749,iftar,5,2,10,17
750,security,4,12,1,17
751,stomach,1,16,0,17
752,drink selection,16,0,0,16
753,nihari,15,0,1,16
754,gentleman,14,2,0,16
755,treatment,14,2,0,16
756,soju,14,1,1,16
757,snail,13,1,2,16
758,bagel,13,0,3,16
759,neighborhood,11,4,1,16
760,espresso,11,3,2,16
761,tacos,10,5,1,16
762,gyoza,10,2,4,16
763,sub,10,1,5,16
764,bento,10,1,5,16
765,vada,9,5,2,16
766,ice,9,3,4,16
767,tortilla,7,9,0,16
768,prime rib,7,4,5,16
769,entrees,7,3,6,16
770,marinara,6,6,4,16
771,wifi,6,5,5,16
772,acoustic,5,11,0,16
773,parmesan,5,8,3,16
774,chicken tender,5,6,5,16
775,desk,2,12,2,16
776,turkish,15,0,0,15
777,mood,15,0,0,15
778,take out,15,0,0,15
779,belly dancer,14,1,0,15
780,ppl,13,2,0,15
781,pollo,13,2,0,15
782,kheer,13,2,0,15
783,terrace,13,1,1,15
784,mexican,13,1,1,15
785,khao soi,13,0,2,15
786,polenta,12,3,0,15
787,kofte,12,2,1,15
788,chicken salad,12,1,2,15
789,season,11,4,0,15
790,fortune cookie,11,4,0,15
791,pina colada,11,3,1,15
792,song,11,3,1,15
793,olive oil,11,3,1,15
794,chicken foot,11,3,1,15
795,mixed drink,11,2,2,15
796,rate,11,2,2,15
797,kibbeh,11,1,3,15
798,roti canai,11,1,3,15
799,packaging,10,4,1,15
800,pulao,10,3,2,15
801,stir fry,10,2,3,15
802,meat platter,10,1,4,15
803,dine,9,3,3,15
804,bass,9,1,5,15
805,heater,8,5,2,15
806,garlic,7,5,3,15
807,tuna roll,7,4,4,15
808,chowder,7,3,5,15
809,prix fixe,7,0,8,15
810,manner,6,9,0,15
811,bus boy,6,8,1,15
812,rollatini,6,6,3,15
813,manchurian,6,5,4,15
814,mashed potato,5,9,1,15
815,avocado,5,9,1,15
816,cutlet,4,5,6,15
817,air,3,12,0,15
818,chowmein,3,11,1,15
819,language,0,12,3,15
820,sever,13,1,0,14
821,artwork,13,1,0,14
822,soul food,13,1,0,14
823,ethiopian,13,1,0,14
824,deco,12,1,1,14
825,fahsa,12,1,1,14
826,noodle soup,12,0,2,14
827,oven,11,2,1,14
828,appetizer platter,11,1,2,14
829,brownie,11,1,2,14
830,paneer tikka,11,1,2,14
831,empanada,11,1,2,14
832,ox tail,11,0,3,14
833,samosa chaat,11,0,3,14
834,breeze,10,3,1,14
835,miso soup,10,3,1,14
836,tostada,10,2,2,14
837,penne alla vodka,10,2,2,14
838,veal marsala,10,2,2,14
839,summer roll,10,1,3,14
840,kielbasa,10,1,3,14
841,fatah,10,0,4,14
842,bos,9,5,0,14
843,horchata,9,4,1,14
844,rabbit,9,3,2,14
845,pesto,9,3,2,14
846,seafood platter,9,2,3,14
847,mixed platter,9,2,3,14
848,vindaloo,8,3,3,14
849,kee mao,8,0,6,14
850,jalea,7,5,2,14
851,omakase,7,5,2,14
852,address,7,4,3,14
853,dipping sauce,7,2,5,14
854,stuffing,6,6,2,14
855,kid,5,9,0,14
856,heat,5,8,1,14
857,clean,5,8,1,14
858,milkshake,5,6,3,14
859,kimbap,5,1,8,14
860,phone,4,9,1,14
861,window,4,9,1,14
862,cleaning,2,10,2,14
863,charge,2,9,3,14
864,happy hour special,13,0,0,13
865,surroundings,13,0,0,13
866,naan bread,12,1,0,13
867,ethiopian food,12,1,0,13
868,pork rib,12,0,1,13
869,kosher,12,0,1,13
870,oxtail flatbread,12,0,1,13
871,grilled salmon,11,1,1,13
872,sole,11,1,1,13
873,sit area,11,1,1,13
874,pho soup,11,1,1,13
875,braise short rib,11,1,1,13
876,crispy pork,11,0,2,13
877,frittata,11,0,2,13
878,kulfi,11,0,2,13
879,serving size,10,3,0,13
880,roast duck,10,1,2,13
881,dover sole,9,4,0,13
882,care,9,4,0,13
883,cobb salad,9,3,1,13
884,lollipop,9,3,1,13
885,ball,9,2,2,13
886,calamari appetizer,9,2,2,13
887,bhel,9,2,2,13
888,duck wing,9,1,3,13
889,crispy duck,9,0,4,13
890,execution,8,5,0,13
891,bussers,8,5,0,13
892,saag paneer,8,5,0,13
893,dog,8,3,2,13
894,fried calamari,8,3,2,13
895,sour,8,3,2,13
896,saag,8,2,3,13
897,masala,8,1,4,13
898,yuca fry,8,0,5,13
899,calimari,7,6,0,13
900,pav bhaji,7,5,1,13
901,pick up,7,3,3,13
902,labneh,7,3,3,13
903,spaghetti carbonara,7,3,3,13
904,boti,6,2,5,13
905,elevator,6,2,5,13
906,asparagus,5,8,0,13
907,turnip cake,5,5,3,13
908,stroganoff,5,3,5,13
909,staffing,3,9,1,13
910,front desk,2,11,0,13
911,alfredo sauce,0,12,1,13
912,manhattan,12,0,0,12
913,tres lech,12,0,0,12
914,rib eye,11,1,0,12
915,greek,11,1,0,12
916,flower,10,2,0,12
917,halal,10,2,0,12
918,seitan,10,1,1,12
919,grocery,10,1,1,12
920,yuca,10,0,2,12
921,salad dressing,9,3,0,12
922,face,9,2,1,12
923,green bean,9,1,2,12
924,interior decor,9,1,2,12
925,style,9,0,3,12
926,duck breast,8,3,1,12
927,yogurt,8,3,1,12
928,goulash,8,3,1,12
929,cassoulet,8,2,2,12
930,samosa chat,8,2,2,12
931,dinner menu,8,1,3,12
932,tuna tartar,8,1,3,12
933,rasta pasta,8,1,3,12
934,japchae,8,1,3,12
935,parrillada,8,1,3,12
936,waiter service,7,5,0,12
937,rice roll,7,4,1,12
938,stuffed shell,7,4,1,12
939,sound,7,3,2,12
940,cesar salad,7,3,2,12
941,mi,7,3,2,12
942,hash brown,7,3,2,12
943,dal,7,3,2,12
944,wine menu,7,2,3,12
945,tamale,7,2,3,12
946,waitor,6,5,1,12
947,ackee,6,2,4,12
948,tabbouleh,6,1,5,12
949,condiment,5,5,2,12
950,basil,5,4,3,12
951,maduros,5,3,4,12
952,bok choy,4,5,3,12
953,table cloth,4,4,4,12
954,mignon,4,4,4,12
955,daal,4,3,5,12
956,walk,4,2,6,12
957,english,3,9,0,12
958,volume,3,9,0,12
959,queue,3,8,1,12
960,breading,3,7,2,12
961,cart,3,6,3,12
962,odor,1,11,0,12
963,crouton,1,8,3,12
964,cockroach,0,12,0,12
965,utensils,0,11,1,12
966,cookie,11,0,0,11
967,cafe con leche,11,0,0,11
968,vegetarian food,11,0,0,11
969,place itself,10,1,0,11
970,proportion,10,1,0,11
971,chocolate,10,1,0,11
972,staff service,10,1,0,11
973,beef wellington,10,0,1,11
974,tom kha soup,10,0,1,11
